Family,Unit #,Region,Route #,Route Name,Flyer Ct.,Route Description
,,WHITTENTON,4-5,W. BRITANNIA ST. #2,95,W. BRITANNIA ST. (from HOPEWELL to WARREN STS.) - All // COTTAGE ST. (from W. BRITANNIA to STATE STS.) - All // STATE ST. (from COTTAGE to LAWRENCE STS.) - All // ROCKLAND ST. - All // CLIFTON ST.  & CONDOS @ THE END - All 
,,WHITTENTON,4-6,COTTAGE ST.,95,COTTAGE ST. (from WHITTENTON to STATE STS.) - All // MARTEL AVE. - All // MEADOW ST. - All // MEADOW PL. - All 
,,WHITTENTON,4-7,W. BRITANNIA ST.,160,W. BRITANNIA ST. (from WARREN to FREMONT STS.) - All // WARREN ST. - All // GUBALA TERR. - All // JUSTIN LN. - All // ELDRIDGE ST. - All // LONG AVE. - All 
,,WHITTENTON,4-8,PROSPECT HILL ST.,140,PROSPECT HILL ST. - All // REDWOOD DR. - All // GREENVIEW LN. - All // LOTHROP ST. (from PROSPECT HILL ST. to MOBILE HOMES) – All // HENRY RD. - All // ARCHER CIR. - All 
,,WHITTENTON,4-9,WHITTENTON ST. #1,175,WHITTENTON ST. (from BAY to WARREN STS.) - All // FIFTH AVE. - All // FOURTH AVE. - All // THIRD AVE. - All // SECOND AVE. - All // FIRST AVE. - All 
,,WHITTENTON,4-10,WHITTENTON ST. #2,190,WHITTENTON ST. (from WARREN ST. to MOREY’S BRIDGE) - All // MILL RIVER CONDOMINIUMS - All // LONGWOOD AVE. - All // LARCHMONT AVE. - All // CLAIREMONT AVE. - All // BRAEMORE RD. - All // LYNNBROOK AVE. - All // TRIMOUNT AVE. - All // MONTCLAIR AVE. - All // EDGEHILL RD. - All // BAYVIEW RD. - All 
,,WHITTENTON,4-11,WASHINGTON ST. #1,200,WASHINGTON ST. (from BROADWAY to JAMES ST.) - All // E. BRITANNIA ST. (from BAY ST. to BROADWAY) - All // PIERCE AVE. - All // BRIGHTMAN ST. - All // ELIZABETH ST. - All // GEN. SHERMAN ST. - All // OXFORD ST. - All // AVON ST. - All // JAMES ST. - All 
,,WHITTENTON,4-12,JACKSON ST.,260,JACKSON ST. (from BAY ST. to BROADWAY) - All // VAILLANCOURT ST. - All // WILSON AVE. - All // VAN BUREN ST. - All // BUTLER AVE. - All // ARTHUR ST. - All // PEARL ST. - All // GARFIELD ST. - All // TAYLOR ST. - All // WASHINGTON ST. (from JACKSON to GARFIELD STS.) - All // PLEASANTVIEW ST. - All // PARKVIEW ST. - All 
,,WHITTENTON,4-13,BAY ST. #1,170,BAY ST. (from BROADWAY TO GREEN ST.) - All // SOUTH AVE. - All // ALBRO AVE. - All // NORTH AVE. - All // MAPLE AVE. - All // GREEN ST. - All // THOMAS ST. - All // HOPEWELL ST. - All 
,,WHITTENTON,4-14,BAY ST. #2,215,BAY ST. (from GREEN to WHITTENTON STS.) - All // JENNY LIND ST. - All // SMITH ST. - All // ALGER AVE. - All // WHITTENTON ST. (from BROADWAY to BAY ST.) - All // WASHINGTON ST. (from JAMES to JACKSON STS.) - All // JACKSON ST. (from BAY to WASHINGTON STS.) - All 
